iter	RMSE
0	14.12535491
1	13.22127081
2	12.39874394
3	11.61976727
4	10.94391309
5	10.42497634
6	9.921280949
7	9.47816491
8	9.044565949
9	8.603492553
10	8.246717405
11	7.933098656
12	7.672770815
13	7.412309718
14	7.178590272
15	6.952896665
16	6.774753125
17	6.609538563
18	6.459116903
19	6.330300616
20	6.221287746
21	6.116772826
22	6.002812997
23	5.910748287
24	5.828747069
25	5.772060354
26	5.708956745
27	5.660046075
28	5.616029594
29	5.569136062
30	5.520837546
31	5.473325774
32	5.428708656
33	5.395605601
34	5.36136589
35	5.32889652
36	5.298094179
37	5.28389003
38	5.260177014
39	5.236035756
40	5.221062023
41	5.209583264
42	5.192443437
43	5.176445339
44	5.160046309
45	5.134804656
46	5.114456804
47	5.10205349
48	5.088740823
49	5.064033226
50	5.049871062
51	5.026970352
52	5.009950332
53	4.990944762
54	4.979636839
55	4.966443107
56	4.953092373
57	4.938930149
58	4.923082664
59	4.917406024
60	4.901932421
61	4.888598944
62	4.881971354
63	4.871236319
64	4.859628125
65	4.847102567
66	4.83335292
67	4.819988623
68	4.81453309
69	4.808437508
70	4.800636595
71	4.790329082
72	4.772998941
73	4.762623489
74	4.75644935
75	4.745884456
76	4.741476165
77	4.734796431
78	4.728501044
79	4.707404717
80	4.700442124
81	4.693120236
82	4.681755331
83	4.671828212
84	4.660383308
85	4.653656894
86	4.648292623
87	4.644111762
88	4.639646237
89	4.62827535
90	4.610955417
91	4.604533073
92	4.592725991
93	4.586845196
94	4.579461515
95	4.567496831
96	4.559104828
97	4.555992582
98	4.53719692
99	4.532845727
