iter	Passed	Remaining
0	57	57621
1	58	29270
2	59	19816
3	60	15070
4	61	12228
5	62	10328
6	63	8975
7	64	7953
8	65	7166
9	66	6548
10	67	6056
11	68	5638
12	69	5271
13	70	4955
14	71	4678
15	72	4439
16	73	4226
17	73	4035
18	74	3864
19	75	3711
20	76	3571
21	77	3449
22	78	3332
23	79	3229
24	80	3138
25	82	3073
26	83	2993
27	84	2917
28	84	2843
29	85	2775
30	86	2711
31	87	2651
32	88	2595
33	89	2543
34	90	2492
35	91	2446
36	92	2400
37	93	2358
38	94	2322
39	95	2290
40	96	2255
41	97	2223
42	98	2190
43	99	2158
44	100	2128
45	101	2098
46	102	2069
47	102	2042
48	104	2023
49	105	2000
50	106	1978
51	107	1958
52	108	1943
53	109	1924
54	111	1907
55	112	1888
56	113	1871
57	114	1854
58	115	1835
59	116	1818
60	117	1806
61	118	1797
62	120	1794
63	122	1787
64	123	1774
65	124	1761
66	126	1759
67	127	1746
68	128	1733
69	129	1719
70	130	1706
71	131	1693
72	132	1682
73	133	1669
74	134	1656
75	135	1645
76	136	1636
77	137	1630
78	139	1628
79	140	1619
80	141	1609
81	142	1597
82	143	1583
83	144	1573
84	145	1563
85	146	1554
86	147	1545
87	148	1537
88	149	1528
89	150	1523
90	152	1525
91	153	1517
92	154	1509
93	155	1501
94	156	1493
95	157	1485
96	158	1478
97	159	1470
98	160	1462
99	161	1455
100	162	1447
101	163	1441
102	164	1434
103	165	1428
104	167	1428
105	169	1430
106	170	1425
107	171	1420
108	172	1413
109	174	1407
110	174	1401
111	176	1395
112	177	1389
113	178	1383
114	178	1377
115	180	1378
116	181	1373
117	183	1373
118	184	1368
119	185	1363
120	187	1358
121	187	1351
122	188	1347
123	189	1342
124	191	1337
125	191	1331
126	192	1326
127	194	1323
128	196	1328
129	197	1324
130	198	1319
131	200	1316
132	201	1310
133	202	1305
134	203	1301
135	204	1296
136	204	1290
137	205	1286
138	207	1283
139	208	1278
140	209	1275
141	210	1272
142	211	1268
143	212	1265
144	213	1261
145	214	1257
146	216	1254
147	217	1250
148	218	1246
149	219	1242
150	220	1238
151	221	1234
152	222	1230
153	223	1228
154	224	1225
155	226	1222
156	227	1222
157	228	1217
158	229	1213
159	230	1209
160	231	1205
161	232	1201
162	233	1197
163	234	1193
164	235	1189
165	236	1185
166	236	1182
167	237	1178
168	239	1175
169	240	1173
170	242	1173
171	243	1169
172	244	1167
173	245	1163
174	245	1159
175	246	1155
176	247	1152
177	248	1147
178	249	1143
179	250	1138
180	250	1135
181	251	1131
182	252	1129
183	253	1126
184	256	1129
185	257	1126
186	258	1123
187	259	1119
188	260	1116
189	260	1112
190	261	1109
191	262	1105
192	263	1102
193	264	1097
194	265	1094
195	265	1091
196	266	1087
197	267	1085
198	269	1083
199	270	1080
200	271	1080
201	272	1077
202	273	1073
203	274	1070
204	275	1068
205	276	1065
206	277	1064
207	278	1061
208	279	1059
209	280	1055
210	281	1052
211	282	1051
212	284	1050
213	286	1050
214	286	1047
215	287	1044
216	288	1041
217	289	1039
218	290	1036
219	291	1033
220	292	1030
221	293	1027
222	294	1024
223	295	1022
224	296	1019
225	297	1018
226	298	1017
227	299	1015
228	300	1013
229	301	1010
230	302	1008
231	303	1005
232	304	1003
233	305	1000
234	306	998
235	307	995
236	308	993
237	309	990
238	310	988
239	311	986
240	312	984
241	313	983
242	315	981
243	315	978
244	317	977
245	318	975
246	319	973
247	320	972
248	321	970
249	322	968
250	323	966
251	325	966
252	326	964
253	329	966
254	330	964
255	331	963
256	332	961
257	333	958
258	334	956
259	335	953
260	335	950
261	336	948
262	337	945
263	338	943
264	339	941
265	340	940
266	341	938
